Sample,MP2/(H29/29Ts),C3-Dibenzothiophenes/C3-Phenanthrenes/Anthracenes,C1-Naphthobenzothiophenes/C1-Fluoranthenes/Pyrenes,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,"2,6,10 Trimethyldodecane (1380)/C4-Decalins",27bb S/Hop,C26 Tricyclic Terpane-22S/H29,Tm/Bsnh,n-Tetracosane (C24)/Hop,H29/Hop,Bsnh/H29,29Ts/Hop,Benzo[e]pyrene/Hop,Pr/Phy,nC17/pristane,nC18/phytane,Type,Date,,,
SH1-A,7.941774384,-0.41681771,-5.588272094,14.98879389,46.10682532,-39.01326505,-18.51955346,7.193663035,-19.3176417,-2.02075045,2.174801954,2.121667529,-16.76596375,-11.65638393,-14.69011607,-12.53830172,-5.246247859,6.31628908,-23.26681038,-0.689830609,7.860326584,3.68336486,-30.8403628,5.352223682,50.97573726,-43.94106609,Group 3a,7/22/12,,,
SH1-B,27.6586871,-1.865654216,-2.605602314,27.90705516,53.46432289,-38.27419462,-21.49792426,26.6203463,-15.57477346,-10.46848236,0.81969848,1.935407884,-14.05983252,-0.394449869,,-5.341313995,4.163395769,-3.302590352,-18.69935862,4.391668603,21.20596655,13.24494318,-25.05563478,-14.00722355,26.62870961,-49.2631913,Group 3a,7/22/12,,,
SH1-C,4.275429038,-16.51280518,50.03504064,49.11154863,53.02527939,-36.87556869,-20.75329595,12.0643345,10.37979959,111.1225535,-40.36825417,-35.08330902,-33.54224103,-7.372696604,,-9.407226419,-8.119028934,6.45807153,-24.37283009,2.21452013,9.557260468,2.102274276,-33.32776703,-73.73968491,237.6125315,-3.072453753,W,7/22/12,,,
SH1-D,13.17085431,-4.493011823,9.464587732,36.21810672,57.51003677,-39.06971845,-24.59564231,14.36716406,24.51504292,18.62564782,-5.410197983,-8.257535623,18.91720849,-7.439542973,,-8.980883713,-8.506478812,6.414793722,-21.96881516,2.013238404,12.02918057,5.130102396,-31.85957678,-53.2776139,9.143020983,-24.68623768,W,7/22/12,,,
SH1-E,13.71275502,-2.178726372,3.050167328,36.44931726,47.598667,-36.76032077,-24.81876247,15.21626351,4.150293817,9.274906558,-7.677727247,-4.203453112,-2.916471248,-4.346453267,,-4.503422138,-12.94677741,7.411039635,-22.14490232,4.826030608,9.832529967,6.852668352,-26.13145691,-36.96771753,28.21443208,-21.82867556,W,7/22/12,,,
SH2-A,-3.034616624,-2.211357582,-3.225689805,12.90185224,43.3761573,-34.68598325,-23.02644425,-1.58225538,-17.19159874,-5.618858484,8.226156967,0.454089013,-9.513205399,-12.71227812,-12.2556559,-10.69211195,-14.59181219,12.61553654,-9.898033027,-3.733889432,2.161279749,-3.988055944,-33.7269493,0.138226861,90.65757005,3.891828605,Group 3a,7/23/12,,,
SH2-B,8.68190924,-1.390036508,-3.916617939,23.26106295,36.69253125,-36.35601683,-24.53383545,11.82231199,-19.30440194,-10.01025018,3.043662417,2.416766687,-16.04439462,-6.477440844,-15.2279291,-4.986330217,-14.80598731,8.947752678,-14.54246431,2.331886497,9.195270502,5.430837302,-24.57682396,-2.240330035,54.04412574,-9.767058907,Group 3a,7/23/12,,,
SH2-C,-19.35408417,-5.184200587,1.408875605,14.98339531,-4.255915585,-29.63238994,-18.17818474,-13.81209279,7.176599354,3.267677568,-5.198331275,-6.490149034,2.587517807,-10.68601603,-0.254911236,-10.22638161,-5.663900994,16.36617144,5.288380975,-4.742732668,-9.586234172,-8.161491296,-14.61280607,-32.77620515,97.31893897,22.78125199,W,7/23/12,,,
SH2-D,7.690167123,0.567834211,6.007507686,43.88774058,38.17960866,-34.42993977,-21.99619369,1.927862037,-0.146241623,-5.038249958,-6.012162667,-2.504804242,-5.242271981,-8.997737015,-15.955777,-5.545895086,0.845691457,13.08926474,-8.061087558,0.421282935,1.426979204,6.710215395,-28.31952417,-35.14274515,34.94363998,-10.99720311,W,7/23/12,,,
SH2-E,-16.58675978,0.093023412,4.779794086,58.73078182,37.99966476,-38.51503101,-24.08058522,3.533429219,-3.901567845,-12.14998225,-11.41299098,-2.557761981,-14.04623439,-6.887441482,,-7.955541853,-12.63218136,11.70815396,4.349017971,3.971892581,-0.493605329,3.117638143,-40.43529834,-41.20824979,51.3673305,-13.16503878,W,7/23/12,,,
