Sample,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,Type
SH1-A,25.27782483,76.29244,-38.9480751,-15.96593596,8.569338121,-28.70114445,-11.27021498,5.639930966,4.17144296,-24.54985594,-7.602561194,Group 3a
SH1-B,39.35199343,85.16999378,-38.20821467,-19.03764965,28.24533467,-25.39357849,-18.92046173,4.238870873,3.981444731,-22.09679707,4.176149135,Group 3a
SH1-C,62.4538343,84.64024405,-36.80809372,-18.2696845,13.50251759,-2.457568761,91.19210311,-38.34591903,-33.78030798,-39.75724699,-3.122308347,W
SH1-D,48.40670586,90.0515506,-39.00458884,-22.23245095,15.83490062,10.03372045,7.427116228,-2.202304638,-6.416090472,7.796292421,-3.192222094,W
SH1-E,48.65860478,78.0924956,-36.6927226,-22.46256376,16.69489703,-7.962571857,-1.040893743,-4.546734286,-2.28063484,-11.99554222,0.042800192,W
SH2-A,23.00414665,72.997617,-34.61616778,-20.61407384,-0.319206469,-26.82236409,-14.52865341,11.89651002,2.470392983,-17.97536206,-8.706907194,Group 3a
SH2-B,34.29028455,64.93315634,-36.2879865,-22.16870706,13.25738907,-28.6894445,-18.50548772,6.538257731,4.472465318,-23.89576662,-2.185971994,Group 3a
SH2-C,25.27194319,15.52477593,-29.55717258,-15.61386866,-12.70599609,-5.288231073,-6.481026621,-1.983252739,-4.613229084,-7.006275977,-6.587666028,W
SH2-D,56.76260747,66.72746339,-34.35985061,-19.55153497,3.23595821,-11.75941253,-14.00285565,-2.824684193,-0.547890868,-14.10383839,-4.821916972,W
SH2-E,72.93378256,66.51034314,-38.44930849,-21.70125184,4.862130517,-15.07798759,-20.44322421,-8.408674762,-0.601911569,-22.08447062,-2.614786326,W
